x, y
1.000,1.000
0.950,0.909
0.900,0.826
0.850,0.751
0.800,0.683
0.750,0.621
0.700,0.564
0.650,0.513
0.600,0.467
0.550,0.424
0.500,0.386
0.450,0.350
0.400,0.319
0.350,0.290
0.300,0.263
0.250,0.239
0.200,0.218
0.150,0.198
0.100,0.180
0.050,0.164
0.000,0.149
0.000,0.135
0.000,0.123
0.000,0.112
0.000,0.102
0.000,0.092
0.000,0.084
0.000,0.076
0.000,0.069
0.000,0.063
0.000,0.057
0.000,0.052
0.000,0.047
0.000,0.043
0.000,0.039
0.000,0.036
0.000,0.032
0.000,0.029
0.000,0.027
0.000,0.024
0.000,0.022
0.000,0.020
0.000,0.018
0.000,0.017
0.000,0.015
0.000,0.014
0.000,0.012
0.000,0.011
0.000,0.010
0.000,0.009
0.000,0.009
0.000,0.008
0.000,0.007
0.000,0.006
0.000,0.006
0.000,0.005
0.000,0.005
0.000,0.004
0.000,0.004
0.000,0.004
0.000,0.003
0.000,0.003
0.000,0.003
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.002
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
